Time,Speed(m/s),Angle(deg),OptimalAngle(deg),Dist(m),ReleaseHt(m)
341369,8,52,0,0,1.8
341371,8,52,51.7741,4.6,1.8
341372,8,52,51.7741,4.6,1.8
341373,8,52,51.7741,4.6,1.8
341374,8,52,51.7741,4.6,1.8
341377,8,52,51.7741,4.6,1.8
341378,8,52,51.7741,4.6,1.8
341379,8,52,51.7741,4.6,1.8
341380,8,52,51.7741,4.6,1.8
341381,8,52,51.7741,4.6,1.8
341382,8,52,51.7741,4.6,1.8
341383,8,52,51.7741,4.6,1.8
341386,8,52,51.7741,4.6,1.8
341388,8,52,51.7741,4.6,1.8
341391,8,52,51.7741,4.6,1.8
341392,8,52,51.7741,4.6,1.8
341395,8,52,51.7741,4.6,1.8
341396,8,52,51.7741,4.6,1.8
341398,8,52,51.7741,4.6,1.8
341399,8,52,51.7741,4.6,1.8
341400,8,52,51.7741,4.6,1.8
341401,8,52,51.7741,4.6,1.8
341403,8,52,51.7741,4.6,1.8
341404,8,52,51.7741,4.6,1.8
341406,8,52,51.7741,4.6,1.8
341407,8,52,51.7741,4.6,1.8
341408,8,52,51.7741,4.6,1.8
341409,8,52,51.7741,4.6,1.8
341410,8,52,51.7741,4.6,1.8
341412,8,52,51.7741,4.6,1.8
341413,8,52,51.7741,4.6,1.8
341414,8,52,51.7741,4.6,1.8
341416,8,52,51.7741,4.6,1.8
341417,8,52,51.7741,4.6,1.8
341418,8,52,51.7741,4.6,1.8
341419,8,52,51.7741,4.6,1.8
341420,8,52,51.7741,4.6,1.8
341422,8,52,51.7741,4.6,1.8
341423,8,52,51.7741,4.6,1.8
341425,8,52,51.7741,4.6,1.8
341427,8,52,51.7741,4.6,1.8
341428,8,52,51.7741,4.6,1.8
341429,8,52,51.7741,4.6,1.8
341430,8,52,51.7741,4.6,1.8
341431,8,52,51.7741,4.6,1.8
341433,8,52,51.7741,4.6,1.8
341434,8,52,51.7741,4.6,1.8
341436,8,52,51.7741,4.6,1.8
341437,8,52,51.7741,4.6,1.8
341438,8,52,51.7741,4.6,1.8
341440,8,52,51.7741,4.6,1.8
341441,8,52,51.7741,4.6,1.8
341442,8,52,51.7741,4.6,1.8
341443,8,52,51.7741,4.6,1.8
341444,8,52,51.7741,4.6,1.8
341445,8,52,51.7741,4.6,1.8
